file_name,camera,width,height,resolution_mp,file_size_kb,aspect_ratio,mean_intensity,std_intensity,r_mean,g_mean,b_mean,edge_density,entropy,skewness,kurtosis
DPP0012_mask.PNG,Canon_60D,480,270,0.13,0.29,1.778,1.556,19.861,1.556,1.556,1.556,0.002,0.037,12.683,158.849
DPP0022_mask.PNG,Canon_60D,480,270,0.13,0.5,1.778,11.442,52.789,11.442,11.442,11.442,0.004,0.183,4.397,17.334
DPP0033_mask.PNG,Canon_60D,480,270,0.13,0.72,1.778,20.349,69.101,20.349,20.349,20.349,0.009,0.278,3.101,7.618
DPP0086_mask.PNG,Canon_60D,480,270,0.13,0.53,1.778,10.308,50.223,10.308,10.308,10.308,0.005,0.169,4.667,19.78
DPP0093_mask.PNG,Canon_60D,480,270,0.13,0.26,1.778,2.072,22.892,2.072,2.072,2.072,0.002,0.047,10.958,118.085
DPP0100_mask.PNG,Canon_60D,480,270,0.13,0.46,1.778,8.65,46.161,8.65,8.65,8.65,0.004,0.148,5.149,24.516
DPP0122_mask.PNG,Canon_60D,480,270,0.13,0.45,1.778,9.098,47.3,9.098,9.098,9.098,0.004,0.154,5.006,23.065
DPP0173_mask.PNG,Canon_60D,480,270,0.13,0.44,1.778,11.329,52.542,11.329,11.329,11.329,0.004,0.182,4.422,17.554
DPP0183_mask.PNG,Canon_60D,480,270,0.13,0.45,1.778,11.542,53.009,11.542,11.542,11.542,0.004,0.184,4.375,17.141
DPP0219_mask.PNG,Canon_60D,480,270,0.13,0.41,1.778,13.779,57.652,13.779,13.779,13.779,0.004,0.21,3.945,13.563
DPP0243_mask.PNG,Canon_60D,480,270,0.13,0.35,1.778,45.377,97.529,45.377,45.377,45.377,0.002,0.468,1.684,0.836
DPP0251_mask.PNG,Canon_60D,480,270,0.13,0.37,1.778,2.593,25.584,2.593,2.593,2.593,0.003,0.057,9.764,93.341
DPP0308_mask.PNG,Canon_60D,480,270,0.13,0.28,1.778,3.451,29.464,3.451,3.451,3.451,0.002,0.072,8.42,68.902
DPP0331_mask.PNG,Canon_60D,480,270,0.13,0.7,1.778,16.209,62.214,16.209,16.209,16.209,0.006,0.237,3.578,10.8
DPP0340_mask.PNG,Canon_60D,480,270,0.13,0.45,1.778,40.668,93.362,40.668,40.668,40.668,0.006,0.439,1.86,1.46
DPP0405_mask.PNG,Canon_60D,480,270,0.13,0.27,1.778,4.112,32.12,4.112,4.112,4.112,0.002,0.083,7.683,57.026
DPP0445_mask.PNG,Canon_60D,480,270,0.13,0.45,1.778,8.443,45.625,8.443,8.443,8.443,0.004,0.145,5.219,25.237
DPP0454_mask.PNG,Canon_60D,480,270,0.13,0.54,1.778,10.765,51.275,10.765,10.765,10.765,0.005,0.175,4.553,18.733
DPP0478_mask.PNG,Canon_60D,480,270,0.13,0.49,1.778,4.171,32.346,4.171,4.171,4.171,0.004,0.084,7.626,56.149
DPP0519_mask.PNG,Canon_60D,480,270,0.13,0.25,1.778,1.95,22.213,1.95,1.95,1.95,0.001,0.045,11.304,125.785
DPP0526_mask.PNG,Canon_60D,480,270,0.13,0.47,1.778,15.979,61.8,15.979,15.979,15.979,0.003,0.234,3.609,11.025
DPP0549_mask.PNG,Canon_60D,480,270,0.13,0.31,1.778,6.79,41.053,6.79,6.79,6.79,0.002,0.123,5.881,32.582
DPP0550_mask.PNG,Canon_60D,480,270,0.13,0.32,1.778,22.501,72.329,22.501,22.501,22.501,0.002,0.298,2.903,6.429
DPP0581_mask.PNG,Canon_60D,480,270,0.13,0.39,1.778,5.07,35.599,5.07,5.07,5.07,0.003,0.098,6.878,45.311
DPP0602_mask.PNG,Canon_60D,480,270,0.13,0.35,1.778,3.026,27.614,3.026,3.026,3.026,0.003,0.064,9.015,79.277
DPP0622_mask.PNG,Canon_60D,480,270,0.13,0.38,1.778,17.079,63.745,17.079,17.079,17.079,0.003,0.246,3.464,10.003
DPP0638_mask.PNG,Canon_60D,480,270,0.13,0.29,1.778,2.902,27.049,2.902,2.902,2.902,0.002,0.062,9.213,82.876
r0d8d62edt_mask.PNG,Nikon_D7000,480,270,0.13,0.45,1.778,36.367,89.169,36.367,36.367,36.367,0.003,0.41,2.044,2.178
r0e661e0dt_mask.PNG,Nikon_D7000,480,270,0.13,0.39,1.778,4.832,34.769,4.832,4.832,4.832,0.003,0.094,7.056,47.788
r1d679eaet_mask.PNG,Nikon_D7000,480,270,0.13,0.34,1.778,10.536,50.752,10.536,10.536,10.536,0.003,0.172,4.609,19.245
r2410fbc3t_mask.PNG,Nikon_D7000,480,270,0.13,0.46,1.778,8.933,46.884,8.933,8.933,8.933,0.005,0.152,5.058,23.583
r2db3db79t_mask.PNG,Nikon_D7000,480,270,0.13,0.64,1.778,40.885,93.563,40.885,40.885,40.885,0.005,0.44,1.851,1.428
r4dbba042t_mask.PNG,Nikon_D7000,480,270,0.13,0.33,1.778,8.579,45.978,8.579,8.579,8.579,0.003,0.147,5.173,24.76
r53e0b40ft_mask.PNG,Nikon_D7000,480,270,0.13,0.3,1.778,4.767,34.54,4.767,4.767,4.767,0.002,0.093,7.107,48.506
r59f5b042t_mask.PNG,Nikon_D7000,480,270,0.13,0.33,1.778,6.733,40.885,6.733,6.733,6.733,0.002,0.122,5.908,32.9
r5b31f2bat_mask.PNG,Nikon_D7000,480,270,0.13,0.3,1.778,15.058,60.109,15.058,15.058,15.058,0.003,0.224,3.741,11.997
r6423cf23t_mask.PNG,Nikon_D7000,480,270,0.13,0.47,1.778,15.095,60.178,15.095,15.095,15.095,0.004,0.225,3.736,11.956
r64abc7bat_mask.PNG,Nikon_D7000,480,270,0.13,0.5,1.778,6.967,41.57,6.967,6.967,6.967,0.004,0.125,5.799,31.628
r64fd9639t_mask.PNG,Nikon_D7000,480,270,0.13,0.59,1.778,17.484,64.442,17.484,17.484,17.484,0.004,0.25,3.414,9.658
r6d1a84e7t_mask.PNG,Nikon_D7000,480,270,0.13,0.57,1.778,21.846,71.369,21.846,21.846,21.846,0.006,0.292,2.961,6.766
r744b52b9t_mask.PNG,Nikon_D7000,480,270,0.13,1.36,1.778,40.342,93.057,40.342,40.342,40.342,0.015,0.437,1.873,1.509
r779134bft_mask.PNG,Nikon_D7000,480,270,0.13,0.99,1.778,11.528,52.979,11.528,11.528,11.528,0.011,0.184,4.378,17.167
r7aca24c9t_mask.PNG,Nikon_D7000,480,270,0.13,0.4,1.778,11.231,52.324,11.231,11.231,11.231,0.003,0.181,4.444,17.751
r80d9a021t_mask.PNG,Nikon_D7000,480,270,0.13,0.66,1.778,12.366,54.777,12.366,12.366,12.366,0.006,0.194,4.204,15.671
r855ab9bdt_mask.PNG,Nikon_D7000,480,270,0.13,0.29,1.778,1.409,18.901,1.409,1.409,1.409,0.002,0.034,13.342,176.011
r8d9821cft_mask.PNG,Nikon_D7000,480,270,0.13,0.36,1.778,9.799,49.017,9.799,9.799,9.799,0.002,0.163,4.803,21.064
r90a6fa0dt_mask.PNG,Nikon_D7000,480,270,0.13,0.61,1.778,20.864,69.893,20.864,20.864,20.864,0.005,0.283,3.051,7.311
r92214bb9t_mask.PNG,Nikon_D7000,480,270,0.13,0.31,1.778,25.057,75.906,25.057,25.057,25.057,0.004,0.321,2.699,5.286
r95055c12t_mask.PNG,Nikon_D7000,480,270,0.13,0.75,1.778,34.122,86.815,34.122,34.122,34.122,0.007,0.394,2.151,2.628
r9dd68cc6t_mask.PNG,Nikon_D7000,480,270,0.13,0.29,1.778,4.165,32.324,4.165,4.165,4.165,0.002,0.083,7.631,56.235
ra2feaee3t_mask.PNG,Nikon_D7000,480,270,0.13,0.53,1.778,19.395,67.598,19.395,19.395,19.395,0.006,0.269,3.198,8.23
ra933d303t_mask.PNG,Nikon_D7000,480,270,0.13,0.25,1.778,6.65,40.64,6.65,6.65,6.65,0.003,0.121,5.947,33.37
rb79056e7t_mask.PNG,Nikon_D7000,480,270,0.13,0.26,1.778,5.46,36.912,5.46,5.46,5.46,0.003,0.103,6.612,41.725
