file_name,main_class,resolution,class_label,width,height,aspect_ratio,file_size_kb,mean_intensity,std_intensity,skewness,kurtosis,entropy,edge_density
s1_100.tif,Canon120-1,150,Canon120-1_150,1240,1752,0.708,6366.8,251.238,23.496,-6.863,48.042,0.413,0.019
s1_39.tif,Canon120-1,150,Canon120-1_150,1240,1752,0.708,6366.8,251.656,20.326,-7.133,53.983,0.469,0.03
s1_4.tif,Canon120-1,150,Canon120-1_150,1240,1752,0.708,6366.8,247.081,32.107,-4.393,18.769,0.833,0.055
s1_40.tif,Canon120-1,150,Canon120-1_150,1240,1752,0.708,6366.8,251.166,20.928,-7.066,54.206,0.719,0.043
s1_44.tif,Canon120-1,150,Canon120-1_150,1240,1752,0.708,6366.8,248.908,29.222,-5.175,26.389,0.62,0.038
s1_46.tif,Canon120-1,150,Canon120-1_150,1240,1752,0.708,6366.8,249.61,26.836,-5.491,30.254,0.616,0.036
s1_49.tif,Canon120-1,150,Canon120-1_150,1240,1752,0.708,6366.8,252.274,19.932,-8.142,67.968,0.364,0.015
s1_85.tif,Canon120-1,150,Canon120-1_150,1240,1752,0.708,6366.8,249.976,27.639,-6.097,37.559,0.524,0.019
s1_86.tif,Canon120-1,150,Canon120-1_150,1240,1752,0.708,6366.8,250.048,26.513,-5.639,31.141,0.482,0.023
s1_90.tif,Canon120-1,150,Canon120-1_150,1240,1752,0.708,6366.8,250.181,24.563,-5.903,36.096,0.628,0.044
s1_91.tif,Canon120-1,150,Canon120-1_150,1240,1752,0.708,6366.8,249.766,28.397,-5.791,33.112,0.514,0.025
s1_92.tif,Canon120-1,150,Canon120-1_150,1240,1752,0.708,6366.8,250.768,25.161,-6.467,41.989,0.462,0.022
s1_93.tif,Canon120-1,150,Canon120-1_150,1240,1752,0.708,6366.8,250.339,26.2,-6.126,37.503,0.545,0.026
s1_94.tif,Canon120-1,150,Canon120-1_150,1240,1752,0.708,6366.8,250.808,25.556,-6.582,43.26,0.478,0.02
s1_95.tif,Canon120-1,150,Canon120-1_150,1240,1752,0.708,6366.8,251.637,21.976,-7.203,52.745,0.411,0.021
s1_96.tif,Canon120-1,150,Canon120-1_150,1240,1752,0.708,6366.8,250.317,26.737,-6.192,38.395,0.451,0.015
s1_97.tif,Canon120-1,150,Canon120-1_150,1240,1752,0.708,6366.8,250.292,25.246,-6.15,38.58,0.561,0.025
s1_98.tif,Canon120-1,150,Canon120-1_150,1240,1752,0.708,6366.8,245.087,35.309,-3.857,14.214,1.013,0.073
s1_99.tif,Canon120-1,150,Canon120-1_150,1240,1752,0.708,6366.8,250.243,25.821,-6.449,42.263,0.907,0.021
s1_63.tif,Canon120-1,300,Canon120-1_300,2480,3508,0.707,25495.07,247.528,30.013,-5.004,24.424,1.83,0.017
s3_100.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,251.177,23.471,-6.843,47.421,0.58,0.018
s3_11.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,248.666,29.1,-5.046,25.021,0.788,0.049
s3_15.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,249.669,26.772,-5.72,32.658,0.86,0.038
s3_19.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,250.781,24.128,-6.442,41.502,0.769,0.024
s3_22.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,253.357,14.768,-10.639,116.93,0.479,0.011
s3_31.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,244.784,34.638,-3.724,12.96,1.403,0.066
s3_37.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,250.428,25.603,-6.223,38.599,0.731,0.024
s3_38.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,251.723,20.622,-7.247,53.662,0.678,0.021
s3_43.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,251.652,20.514,-7.07,51.362,0.611,0.026
s3_51.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,250.666,23.203,-6.054,37.209,0.642,0.032
s3_59.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,247.034,32.19,-4.342,18.131,0.967,0.037
s3_6.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,253.269,14.944,-10.212,108.262,0.45,0.012
s3_64.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,246.763,32.807,-4.288,17.162,1.264,0.027
s3_67.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,231.942,34.131,-1.693,3.82,2.608,0.017
s3_69.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,251.588,21.414,-7.236,53.291,0.689,0.022
s3_70.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,243.464,38.474,-3.61,11.991,1.447,0.08
s3_72.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,249.106,29.048,-5.365,28.259,0.724,0.035
s3_75.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,252.09,18.239,-7.69,62.357,0.802,0.021
s3_76.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,251.807,19.652,-8.125,69.002,0.849,0.012
s3_77.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,247.332,30.736,-4.427,19.292,1.027,0.048
s3_78.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,248.721,25.979,-5.5,31.318,1.222,0.032
s3_79.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,250.761,23.255,-6.463,42.759,0.729,0.028
s3_80.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,250.434,24.91,-6.285,39.506,0.857,0.034
s3_81.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,248.48,29.431,-4.994,24.474,0.928,0.038
s3_82.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,251.543,22.92,-7.366,54.311,0.629,0.014
s3_83.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,249.712,27.057,-5.627,31.419,0.679,0.036
s3_84.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,252.3,17.554,-8.674,80.137,0.727,0.019
s3_85.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,250.073,26.818,-6.08,37.181,0.677,0.019
s3_86.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,250.102,25.858,-5.678,31.503,0.719,0.023
s3_87.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,250.496,24.897,-6.187,38.154,0.777,0.027
s3_88.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,250.146,24.196,-5.722,33.854,0.829,0.025
s3_89.tif,Canon220,150,Canon220_150,1240,1752,0.708,6366.8,248.362,29.269,-4.924,24.003,0.853,0.046
